Video Name,Predicted Label,Title,Category,Label,True Label,Accuracy
ring_00123,0,ring_00123,Wildlife,Abnormal,1,0
Wyze_team_00037,0,Wyze_team_00037,Security,Normal,0,1
ring_00786,0,ring_00786,Pet Monitoring,Normal,0,1
ring_00725,0,ring_00725,Security,Abnormal,1,0
ring_00819,0,ring_00819,Security,Normal,0,1
ring_00832,0,ring_00832,"{""choices"":[""Security"",""Pet Monitoring""]}",Vague Abnormal,1,0
ring_01385,0,ring_01385,"{""choices"":[""Wildlife"",""Pet Monitoring""]}",Abnormal,1,0
ring_00448,0,ring_00448,Pet Monitoring,Normal,0,1
Wyze_team_00022,0,Wyze_team_00022,Security,Normal,0,1
ring_01337,0,ring_01337,Wildlife,Abnormal,1,0
ring_00074,0,ring_00074,Security,Normal,0,1
package_00081,0,package_00081,Security,Normal,0,1
suppl_00017,0,suppl_00017,Senior Care,Abnormal,1,0
ring_01072,0,ring_01072,Security,Abnormal,1,0
ring_00133,0,ring_00133,Kid Monitoring,Normal,0,1
ring_00516,0,ring_00516,Wildlife,Abnormal,1,0
ring_01338,0,ring_01338,Security,Normal,0,1
package_00005,0,package_00005,Security,Normal,0,1
ring_00117,0,ring_00117,Security,Abnormal,1,0
ring_00895,0,ring_00895,Wildlife,Abnormal,1,0
ring_00479,0,ring_00479,Wildlife,Abnormal,1,0
ring_01033,0,ring_01033,Wildlife,Abnormal,1,0
ring_00508,0,ring_00508,Wildlife,Abnormal,1,0
ring_00159,0,ring_00159,Wildlife,Abnormal,1,0
ring_00771,0,ring_00771,Wildlife,Abnormal,1,0
package_00088,0,package_00088,Security,Normal,0,1
wyze_00018,0,wyze_00018,Other Category,Normal,0,1
ring_00088,0,ring_00088,Wildlife,Abnormal,1,0
ring_00497,0,ring_00497,Security,Abnormal,1,0
ring_00538,0,ring_00538,Wildlife,Abnormal,1,0
ring_00752,0,ring_00752,Security,Normal,0,1
ring_00080,0,ring_00080,Other Category,Normal,0,1
ring_00650,0,ring_00650,Security,Normal,0,1
ring_01383,0,ring_01383,Security,Vague Abnormal,1,0
ring_00107,0,ring_00107,Pet Monitoring,Abnormal,1,0
ring_00574,0,ring_00574,Security,Normal,0,1
Wyze_team_00040,0,Wyze_team_00040,Pet Monitoring,Normal,0,1
ring_00311,0,ring_00311,Security,Normal,0,1
ring_00366,0,ring_00366,Pet Monitoring,Normal,0,1
ring_00094,0,ring_00094,Security,Normal,0,1
ring_00515,0,ring_00515,Security,Abnormal,1,0
ring_00201,0,ring_00201,"{""choices"":[""Wildlife"",""Pet Monitoring""]}",Abnormal,1,0
Wyze_team_00054,0,Wyze_team_00054,Security,Normal,0,1
wyze_00013,0,wyze_00013,Security,Normal,0,1
Wyze_team_00034,0,Wyze_team_00034,Security,Normal,0,1
ring_00217,0,ring_00217,Wildlife,Abnormal,1,0
ring_01398,0,ring_01398,Wildlife,Abnormal,1,0
ring_00611,0,ring_00611,Security,Normal,0,1
ring_00511,0,ring_00511,Wildlife,Abnormal,1,0
ring_00272,0,ring_00272,Security,Normal,0,1
ring_00177,0,ring_00177,Wildlife,Abnormal,1,0
ring_00539,0,ring_00539,Security,Abnormal,1,0
ring_00286,0,ring_00286,Wildlife,Abnormal,1,0
ring_00444,0,ring_00444,Security,Abnormal,1,0
wyze_00027,0,wyze_00027,Security,Vague Abnormal,1,0
ring_00816,0,ring_00816,Baby Monitoring,Normal,0,1
ring_00106,0,ring_00106,Pet Monitoring,Normal,0,1
ring_00150,0,ring_00150,Wildlife,Abnormal,1,0
ring_00817,0,ring_00817,Wildlife,Abnormal,1,0
package_00034,0,package_00034,Security,Normal,0,1
ring_00820,0,ring_00820,Security,Normal,0,1
ring_00369,0,ring_00369,Security,Normal,0,1
ring_00636,0,ring_00636,Wildlife,Abnormal,1,0
suppl_00023,0,suppl_00023,Senior Care,Normal,0,1
ring_01374,0,ring_01374,Security,Abnormal,1,0
ring_00536,0,ring_00536,Security,Abnormal,1,0
ring_00874,0,ring_00874,Security,Abnormal,1,0
ring_00775,0,ring_00775,Security,Vague Abnormal,1,0
ring_01004,0,ring_01004,Pet Monitoring,Normal,0,1
suppl_00008,0,suppl_00008,Baby Monitoring,Abnormal,1,0
ring_01101,0,ring_01101,Security,Normal,0,1
ring_00453,0,ring_00453,Wildlife,Abnormal,1,0
ring_01069,0,ring_01069,Security,Abnormal,1,0
ring_01257,0,ring_01257,Security,Normal,0,1
Wyze_team_00011,0,Wyze_team_00011,Security,Normal,0,1
ring_01063,0,ring_01063,Security,Abnormal,1,0
wyze_00019,0,wyze_00019,Other Category,Normal,0,1
ring_00355,0,ring_00355,Pet Monitoring,Normal,0,1
ring_00707,0,ring_00707,Security,Abnormal,1,0
ring_00048,0,ring_00048,Pet Monitoring,Normal,0,1
ring_01467,0,ring_01467,Wildlife,Abnormal,1,0
ring_00873,0,ring_00873,Kid Monitoring,Normal,0,1
ring_01360,0,ring_01360,Pet Monitoring,Abnormal,1,0
ring_01256,0,ring_01256,Security,Normal,0,1
ring_00943,0,ring_00943,Security,Vague Abnormal,1,0
ring_01013,0,ring_01013,Wildlife,Abnormal,1,0
ring_00362,0,ring_00362,Wildlife,Abnormal,1,0
package_00017,0,package_00017,Security,Normal,0,1
ring_00231,0,ring_00231,Pet Monitoring,Vague Abnormal,1,0
ring_00537,0,ring_00537,Pet Monitoring,Normal,0,1
wyze_00028,0,wyze_00028,Security,Vague Abnormal,1,0
ring_00230,0,ring_00230,Wildlife,Abnormal,1,0
Wyze_team_00060,0,Wyze_team_00060,Security,Normal,0,1
ring_01017,0,ring_01017,Wildlife,Abnormal,1,0
ring_00945,0,ring_00945,Security,Abnormal,1,0
ring_01351,0,ring_01351,Wildlife,Abnormal,1,0
ring_00429,0,ring_00429,Security,Vague Abnormal,1,0
ring_00131,0,ring_00131,Wildlife,Abnormal,1,0
ring_01105,0,ring_01105,Wildlife,Abnormal,1,0
wyze_00033,0,wyze_00033,Wildlife,Abnormal,1,0
wyze_00007,0,wyze_00007,Pet Monitoring,Normal,0,1
ring_00839,0,ring_00839,Wildlife,Abnormal,1,0
package_00060,0,package_00060,Security,Abnormal,1,0
ring_00187,0,ring_00187,Pet Monitoring,Normal,0,1
ring_00768,0,ring_00768,Baby Monitoring,Normal,0,1
ring_00499,0,ring_00499,Wildlife,Abnormal,1,0
ring_00190,0,ring_00190,Wildlife,Abnormal,1,0
ring_01146,0,ring_01146,Security,Normal,0,1
ring_00494,0,ring_00494,Security,Vague Abnormal,1,0
ring_00226,0,ring_00226,Security,Abnormal,1,0
ring_00748,0,ring_00748,Security,Normal,0,1
ring_00853,0,ring_00853,Wildlife,Abnormal,1,0
ring_00726,0,ring_00726,Wildlife,Abnormal,1,0
ring_00300,0,ring_00300,Pet Monitoring,Normal,0,1
ring_00279,0,ring_00279,Kid Monitoring,Abnormal,1,0
ring_00358,0,ring_00358,Security,Vague Abnormal,1,0
ring_00162,0,ring_00162,Wildlife,Abnormal,1,0
Wyze_team_00051,0,Wyze_team_00051,Security,Vague Abnormal,1,0
ring_00194,0,ring_00194,Wildlife,Abnormal,1,0
ring_00826,0,ring_00826,Security,Abnormal,1,0
ring_01425,0,ring_01425,Wildlife,Abnormal,1,0
ring_01029,0,ring_01029,Wildlife,Abnormal,1,0
ring_01431,0,ring_01431,Wildlife,Abnormal,1,0
ring_00700,0,ring_00700,Security,Normal,0,1
ring_01107,0,ring_01107,"{""choices"":[""Security"",""Wildlife""]}",Abnormal,1,0
ring_00477,0,ring_00477,Security,Normal,0,1
ring_00427,0,ring_00427,Security,Normal,0,1
ring_00283,0,ring_00283,Wildlife,Abnormal,1,0
Wyze_team_00020,0,Wyze_team_00020,Security,Normal,0,1
ring_01169,0,ring_01169,Security,Abnormal,1,0
ring_01043,0,ring_01043,Security,Abnormal,1,0
ring_00036,0,ring_00036,"{""choices"":[""Security"",""Pet Monitoring"",""Kid Monitoring""]}",Normal,0,1
ring_00559,0,ring_00559,Security,Normal,0,1
Wyze_team_00078,0,Wyze_team_00078,Security,Normal,0,1
ring_00430,0,ring_00430,Security,Normal,0,1
ring_00144,0,ring_00144,Wildlife,Abnormal,1,0
ring_00665,0,ring_00665,Security,Normal,0,1
ring_00666,0,ring_00666,Security,Normal,0,1
ring_01361,0,ring_01361,Security,Abnormal,1,0
ring_00005,0,ring_00005,Wildlife,Abnormal,1,0
ring_00101,0,ring_00101,Wildlife,Abnormal,1,0
Wyze_team_00056,0,Wyze_team_00056,Security,Normal,0,1
ring_00268,0,ring_00268,Wildlife,Abnormal,1,0
ring_00368,0,ring_00368,Pet Monitoring,Abnormal,1,0
ring_00669,0,ring_00669,Kid Monitoring,Normal,0,1
Wyze_team_00006,0,Wyze_team_00006,Security,Normal,0,1
ring_01171,0,ring_01171,Pet Monitoring,Abnormal,1,0
ring_01446,0,ring_01446,Pet Monitoring,Abnormal,1,0
ring_00093,0,ring_00093,Wildlife,Abnormal,1,0
Wyze_team_00073,0,Wyze_team_00073,Security,Normal,0,1
ring_00714,0,ring_00714,Wildlife,Abnormal,1,0
ring_00104,0,ring_00104,Pet Monitoring,Normal,0,1
ring_00197,0,ring_00197,Wildlife,Vague Abnormal,1,0
package_00043,0,package_00043,Security,Normal,0,1
ring_00132,0,ring_00132,Wildlife,Vague Abnormal,1,0
ring_00680,0,ring_00680,Pet Monitoring,Normal,0,1
ring_00174,0,ring_00174,Security,Normal,0,1
ring_01106,0,ring_01106,Security,Abnormal,1,0
wyze_00029,0,wyze_00029,Security,Vague Abnormal,1,0
ring_00065,0,ring_00065,Pet Monitoring,Abnormal,1,0
ring_01435,0,ring_01435,Pet Monitoring,Normal,0,1
ring_00960,0,ring_00960,Wildlife,Abnormal,1,0
ring_00631,0,ring_00631,Wildlife,Abnormal,1,0
Wyze_team_00001,0,Wyze_team_00001,Security,Normal,0,1
ring_00754,0,ring_00754,Wildlife,Abnormal,1,0
ring_00957,0,ring_00957,Security,Abnormal,1,0
ring_00147,0,ring_00147,Pet Monitoring,Normal,0,1
ring_00336,0,ring_00336,Security,Vague Abnormal,1,0
ring_00438,0,ring_00438,Wildlife,Abnormal,1,0
suppl_00014,0,suppl_00014,Senior Care,Abnormal,1,0
ring_00171,0,ring_00171,Pet Monitoring,Normal,0,1
ring_00753,0,ring_00753,Wildlife,Abnormal,1,0
Wyze_team_00017,0,Wyze_team_00017,Security,Normal,0,1
ring_00236,0,ring_00236,Security,Abnormal,1,0
ring_00010,0,ring_00010,Wildlife,Abnormal,1,0
ring_00486,0,ring_00486,"{""choices"":[""Security"",""Wildlife""]}",Abnormal,1,0
suppl_00018,0,suppl_00018,Senior Care,Abnormal,1,0
ring_00556,0,ring_00556,Wildlife,Abnormal,1,0
ring_00105,0,ring_00105,Security,Vague Abnormal,1,0
ring_00606,0,ring_00606,Security,Normal,0,1
ring_00339,0,ring_00339,Security,Normal,0,1
ring_00780,0,ring_00780,Security,Vague Abnormal,1,0
ring_00195,0,ring_00195,Pet Monitoring,Abnormal,1,0
ring_00605,0,ring_00605,Security,Abnormal,1,0
wyze_00017,0,wyze_00017,Other Category,Normal,0,1
Wyze_team_00012,0,Wyze_team_00012,Security,Normal,0,1
ring_00944,0,ring_00944,Pet Monitoring,Abnormal,1,0
ring_01470,0,ring_01470,Pet Monitoring,Abnormal,1,0
suppl_00012,0,suppl_00012,Baby Monitoring,Abnormal,1,0
Wyze_team_00028,0,Wyze_team_00028,Security,Normal,0,1
ring_00039,0,ring_00039,Pet Monitoring,Abnormal,1,0
ring_00334,0,ring_00334,Wildlife,Abnormal,1,0
ring_00583,0,ring_00583,Security,Normal,0,1
wyze_00036,0,wyze_00036,Security,Abnormal,1,0
ring_00614,0,ring_00614,Security,Vague Abnormal,1,0
ring_00097,0,ring_00097,Kid Monitoring,Vague Abnormal,1,0
ring_00156,0,ring_00156,"{""choices"":[""Security"",""Wildlife""]}",Normal,0,1
ring_00282,0,ring_00282,Security,Abnormal,1,0
ring_00316,0,ring_00316,Wildlife,Abnormal,1,0
ring_00320,0,ring_00320,Security,Abnormal,1,0
ring_01302,0,ring_01302,Pet Monitoring,Abnormal,1,0
ring_00601,0,ring_00601,Pet Monitoring,Abnormal,1,0
wyze_00021,0,wyze_00021,Wildlife,Abnormal,1,0
ring_00062,0,ring_00062,Pet Monitoring,Normal,0,1
ring_00306,0,ring_00306,Kid Monitoring,Vague Abnormal,1,0
ring_00715,0,ring_00715,Pet Monitoring,Normal,0,1
wyze_00009,0,wyze_00009,Wildlife,Abnormal,1,0
ring_00092,0,ring_00092,Security,Normal,0,1
ring_00989,0,ring_00989,Security,Normal,0,1
Wyze_team_00055,0,Wyze_team_00055,Security,Normal,0,1
ring_00654,0,ring_00654,Security,Normal,0,1
ring_01268,0,ring_01268,Kid Monitoring,Normal,0,1
ring_00353,0,ring_00353,Security,Normal,0,1
ring_00823,0,ring_00823,Pet Monitoring,Normal,0,1
package_00009,0,package_00009,Security,Normal,0,1
ring_00124,0,ring_00124,Wildlife,Abnormal,1,0
ring_00109,0,ring_00109,"{""choices"":[""Security"",""Kid Monitoring""]}",Normal,0,1
ring_00557,0,ring_00557,Wildlife,Abnormal,1,0
ring_00314,0,ring_00314,Security,Normal,0,1
ring_00531,0,ring_00531,Wildlife,Abnormal,1,0
ring_00152,0,ring_00152,Kid Monitoring,Normal,0,1
ring_00824,0,ring_00824,Security,Normal,0,1
ring_00417,0,ring_00417,Pet Monitoring,Normal,0,1
ring_00475,0,ring_00475,Kid Monitoring,Normal,0,1
ring_01095,0,ring_01095,Wildlife,Abnormal,1,0
ring_00777,0,ring_00777,Security,Vague Abnormal,1,0
ring_00478,0,ring_00478,Wildlife,Abnormal,1,0
ring_00185,0,ring_00185,Pet Monitoring,Normal,0,1
Wyze_team_00067,0,Wyze_team_00067,Security,Normal,0,1
ring_00581,0,ring_00581,Security,Normal,0,1
ring_01451,0,ring_01451,Wildlife,Abnormal,1,0
ring_00498,0,ring_00498,Wildlife,Abnormal,1,0
ring_00120,0,ring_00120,"{""choices"":[""Security"",""Wildlife""]}",Abnormal,1,0
Wyze_team_00049,0,Wyze_team_00049,Security,Normal,0,1
wyze_00002,0,wyze_00002,Wildlife,Abnormal,1,0
ring_01037,0,ring_01037,Security,Normal,0,1
package_00032,0,package_00032,Security,Normal,0,1
ring_00160,0,ring_00160,Security,Vague Abnormal,1,0
ring_00894,0,ring_00894,Kid Monitoring,Normal,0,1
ring_00602,0,ring_00602,Security,Normal,0,1
ring_00200,0,ring_00200,Pet Monitoring,Normal,0,1
ring_00681,0,ring_00681,Pet Monitoring,Normal,0,1
ring_00913,0,ring_00913,Security,Vague Abnormal,1,0
ring_00628,0,ring_00628,Security,Normal,0,1
ring_01176,0,ring_01176,Wildlife,Abnormal,1,0
ring_00207,0,ring_00207,Wildlife,Abnormal,1,0
ring_01298,0,ring_01298,Security,Abnormal,1,0
ring_00256,0,ring_00256,Wildlife,Abnormal,1,0
wyze_00011,0,wyze_00011,Pet Monitoring,Abnormal,1,0
ring_00045,0,ring_00045,Baby Monitoring,Normal,0,1
ring_00656,0,ring_00656,Wildlife,Normal,0,1
ring_01313,0,ring_01313,Security,Normal,0,1
ring_01149,0,ring_01149,Pet Monitoring,Abnormal,1,0
ring_00325,0,ring_00325,Security,Abnormal,1,0
package_00089,0,package_00089,Security,Normal,0,1
Wyze_team_00032,0,Wyze_team_00032,Security,Normal,0,1
ring_00548,0,ring_00548,Security,Abnormal,1,0
ring_01287,0,ring_01287,Wildlife,Abnormal,1,0
Wyze_team_00018,0,Wyze_team_00018,Security,Normal,0,1
ring_00729,0,ring_00729,Pet Monitoring,Normal,0,1
ring_01379,0,ring_01379,Security,Normal,0,1
ring_01428,0,ring_01428,Security,Normal,0,1
ring_00072,0,ring_00072,Pet Monitoring,Normal,0,1
ring_00276,0,ring_00276,Security,Abnormal,1,0
ring_00251,0,ring_00251,Wildlife,Abnormal,1,0
ring_00594,0,ring_00594,Security,Abnormal,1,0
ring_00333,0,ring_00333,Wildlife,Abnormal,1,0
ring_00270,0,ring_00270,Wildlife,Abnormal,1,0
suppl_00024,0,suppl_00024,Senior Care,Normal,0,1
Wyze_team_00072,0,Wyze_team_00072,Security,Normal,0,1
ring_00866,0,ring_00866,Pet Monitoring,Normal,0,1
ring_00446,0,ring_00446,Security,Normal,0,1
suppl_00001,0,suppl_00001,Security,Normal,0,1
ring_00813,0,ring_00813,Security,Normal,0,1
ring_00253,0,ring_00253,Pet Monitoring,Vague Abnormal,1,0
ring_01355,0,ring_01355,Pet Monitoring,Abnormal,1,0
suppl_00028,0,suppl_00028,Senior Care,Normal,0,1
ring_00545,0,ring_00545,Wildlife,Normal,0,1
ring_00181,0,ring_00181,Pet Monitoring,Normal,0,1
ring_00635,0,ring_00635,Security,Abnormal,1,0
Wyze_team_00016,0,Wyze_team_00016,Security,Normal,0,1
Wyze_team_00069,0,Wyze_team_00069,Security,Normal,0,1
ring_00643,0,ring_00643,Security,Normal,0,1
Wyze_team_00045,0,Wyze_team_00045,Security,Normal,0,1
ring_00518,0,ring_00518,Wildlife,Abnormal,1,0
ring_00658,0,ring_00658,Wildlife,Abnormal,1,0
ring_00881,0,ring_00881,Kid Monitoring,Vague Abnormal,1,0
ring_00292,0,ring_00292,Pet Monitoring,Abnormal,1,0
ring_00535,0,ring_00535,Wildlife,Abnormal,1,0
ring_00670,0,ring_00670,Pet Monitoring,Normal,0,1
ring_00510,0,ring_00510,Security,Abnormal,1,0
ring_00878,0,ring_00878,Kid Monitoring,Normal,0,1
ring_00246,0,ring_00246,Pet Monitoring,Abnormal,1,0
ring_01372,0,ring_01372,Wildlife,Abnormal,1,0
ring_00040,0,ring_00040,Wildlife,Normal,0,1
ring_00145,0,ring_00145,Pet Monitoring,Normal,0,1
ring_01317,0,ring_01317,Pet Monitoring,Abnormal,1,0
ring_01440,0,ring_01440,"{""choices"":[""Wildlife"",""Pet Monitoring""]}",Abnormal,1,0
Wyze_team_00033,0,Wyze_team_00033,Security,Normal,0,1
ring_00002,0,ring_00002,Baby Monitoring,Vague Abnormal,1,0
ring_00572,0,ring_00572,Pet Monitoring,Normal,0,1
ring_00808,0,ring_00808,Kid Monitoring,Abnormal,1,0
ring_00795,0,ring_00795,Security,Abnormal,1,0
ring_00698,0,ring_00698,Security,Normal,0,1
package_00051,0,package_00051,Security,Normal,0,1
ring_00285,0,ring_00285,Baby Monitoring,Normal,0,1
ring_01147,0,ring_01147,Security,Normal,0,1
ring_01468,0,ring_01468,Pet Monitoring,Abnormal,1,0
ring_01270,0,ring_01270,Baby Monitoring,Normal,0,1
ring_00263,0,ring_00263,Wildlife,Normal,0,1
Wyze_team_00079,0,Wyze_team_00079,Security,Normal,0,1
ring_00050,0,ring_00050,Wildlife,Vague Abnormal,1,0
package_00037,0,package_00037,Security,Normal,0,1
ring_00083,0,ring_00083,Security,Normal,0,1
ring_00041,0,ring_00041,Wildlife,Abnormal,1,0
ring_00319,0,ring_00319,Wildlife,Abnormal,1,0
ring_00387,0,ring_00387,Pet Monitoring,Abnormal,1,0
ring_00077,0,ring_00077,Wildlife,Abnormal,1,0
ring_00332,0,ring_00332,Pet Monitoring,Normal,0,1
ring_01478,0,ring_01478,Wildlife,Abnormal,1,0
ring_00543,0,ring_00543,Wildlife,Abnormal,1,0
ring_00963,0,ring_00963,Security,Normal,0,1
ring_00664,0,ring_00664,Security,Normal,0,1
Wyze_team_00052,0,Wyze_team_00052,Security,Normal,0,1
ring_00850,0,ring_00850,Security,Normal,0,1
ring_00408,0,ring_00408,Wildlife,Abnormal,1,0
package_00082,0,package_00082,Security,Normal,0,1
suppl_00032,0,suppl_00032,Senior Care,Normal,0,1
ring_00129,0,ring_00129,Pet Monitoring,Normal,0,1
package_00068,0,package_00068,Security,Normal,0,1
ring_00259,0,ring_00259,Wildlife,Abnormal,1,0
ring_00307,0,ring_00307,Pet Monitoring,Vague Abnormal,1,0
ring_00468,0,ring_00468,Wildlife,Abnormal,1,0
Wyze_team_00071,0,Wyze_team_00071,Security,Normal,0,1
ring_00480,0,ring_00480,Security,Abnormal,1,0
ring_00791,0,ring_00791,Security,Vague Abnormal,1,0
package_00077,0,package_00077,Security,Normal,0,1
ring_00697,0,ring_00697,Security,Abnormal,1,0
ring_00998,0,ring_00998,Security,Abnormal,1,0
ring_00007,0,ring_00007,Security,Abnormal,1,0
ring_00705,0,ring_00705,Security,Normal,0,1
ring_00704,0,ring_00704,Security,Vague Abnormal,1,0
ring_00502,0,ring_00502,Wildlife,Abnormal,1,0
ring_00815,0,ring_00815,Security,Abnormal,1,0
ring_01345,0,ring_01345,Security,Vague Abnormal,1,0
ring_00750,0,ring_00750,Security,Normal,0,1
ring_00118,0,ring_00118,Wildlife,Abnormal,1,0
ring_00830,0,ring_00830,Wildlife,Abnormal,1,0
ring_00886,0,ring_00886,Pet Monitoring,Normal,0,1
ring_00401,0,ring_00401,Security,Normal,0,1
ring_00940,0,ring_00940,Security,Abnormal,1,0
ring_00734,0,ring_00734,Security,Normal,0,1
ring_00183,0,ring_00183,Security,Abnormal,1,0
ring_01260,0,ring_01260,Wildlife,Abnormal,1,0
package_00093,0,package_00093,Security,Normal,0,1
ring_00220,0,ring_00220,Security,Normal,0,1
ring_00304,0,ring_00304,Wildlife,Abnormal,1,0
ring_00902,0,ring_00902,Other Category,Abnormal,1,0
Wyze_team_00080,0,Wyze_team_00080,Security,Normal,0,1
ring_00058,0,ring_00058,Kid Monitoring,Normal,0,1
ring_00085,0,ring_00085,Kid Monitoring,Normal,0,1
ring_01334,0,ring_01334,Wildlife,Abnormal,1,0
ring_00297,0,ring_00297,Wildlife,Abnormal,1,0
ring_00324,0,ring_00324,Security,Vague Abnormal,1,0
ring_00338,0,ring_00338,Security,Normal,0,1
